nsites,nclusts,sg,ss,se,variable,value
25.0,1.0,0.5,0.25,0.25,GCTA,0.648263
25.0,1.0,0.5,0.25,0.25,GCTA,0.645576
25.0,1.0,0.5,0.25,0.25,GCTA,0.664432
25.0,1.0,0.5,0.25,0.25,GCTA,0.655794
25.0,1.0,0.5,0.25,0.25,GCTA,0.663037
25.0,1.0,0.5,0.25,0.25,GCTA,0.66408
25.0,1.0,0.5,0.25,0.25,GCTA,0.6527270000000001
25.0,1.0,0.5,0.25,0.25,GCTA,0.640103
25.0,1.0,0.5,0.25,0.25,GCTA,0.661048
25.0,1.0,0.5,0.25,0.25,GCTA,0.669165
,,,,,GCTA,0.654623
,,,,,GCTA,0.685103
,,,,,GCTA,0.678203
,,,,,GCTA,0.6630229999999999
,,,,,GCTA,0.661852
,,,,,GCTA,0.664772
,,,,,GCTA,0.679555
,,,,,GCTA,0.658431
,,,,,GCTA,0.6614800000000001
,,,,,GCTA,0.6711229999999999
,,,,,GCTA,0.687936
,,,,,GCTA,0.686286
,,,,,GCTA,0.667524
,,,,,GCTA,0.710649
,,,,,GCTA,0.6952020000000001
,,,,,GCTA,0.679942
,,,,,GCTA,0.701801
,,,,,GCTA,0.6999770000000001
,,,,,GCTA,0.690275
,,,,,GCTA,0.646005
2.0,1.0,0.5,0.25,0.25,GCTA,0.668013
2.0,1.0,0.5,0.25,0.25,GCTA,0.657195
2.0,1.0,0.5,0.25,0.25,GCTA,0.6477729999999999
2.0,1.0,0.5,0.25,0.25,GCTA,0.655265
2.0,1.0,0.5,0.25,0.25,GCTA,0.6707850000000001
2.0,1.0,0.5,0.25,0.25,GCTA,0.673728
2.0,1.0,0.5,0.25,0.25,GCTA,0.671191
2.0,1.0,0.5,0.25,0.25,GCTA,0.6865100000000001
2.0,1.0,0.5,0.25,0.25,GCTA,0.658605
2.0,1.0,0.5,0.25,0.25,GCTA,0.672184
,,,,,GCTA,0.710884
,,,,,GCTA,0.710182
,,,,,GCTA,0.6912020000000001
,,,,,GCTA,0.7101350000000001
,,,,,GCTA,0.7203229999999999
,,,,,GCTA,0.713487
,,,,,GCTA,0.715917
,,,,,GCTA,0.69357
,,,,,GCTA,0.707071
,,,,,GCTA,0.6311100000000001
,,,,,GCTA,0.6610199999999999
