FID IID subj_ancestries
1 1 4
2 2 1
3 3 3
4 4 2
5 5 3
6 6 4
7 7 1
8 8 1
9 9 5
10 10 4
11 11 5
12 12 2
13 13 3
14 14 1
15 15 1
16 16 4
17 17 4
18 18 5
19 19 3
20 20 4
21 21 5
22 22 2
23 23 4
24 24 2
25 25 4
26 26 1
27 27 1
28 28 5
29 29 5
30 30 5
31 31 1
32 32 3
33 33 4
34 34 2
35 35 4
36 36 5
37 37 2
38 38 1
39 39 5
40 40 1
41 41 5
42 42 4
43 43 4
44 44 5
45 45 3
46 46 2
47 47 4
48 48 2
49 49 1
50 50 5
51 51 3
52 52 4
53 53 5
54 54 3
55 55 3
56 56 3
57 57 4
58 58 2
59 59 5
60 60 5
61 61 4
62 62 4
63 63 4
64 64 2
65 65 1
66 66 5
67 67 5
68 68 3
69 69 4
70 70 4
71 71 5
72 72 4
73 73 2
74 74 3
75 75 2
76 76 2
77 77 4
78 78 5
79 79 4
80 80 4
81 81 2
82 82 1
83 83 4
84 84 3
85 85 4
86 86 2
87 87 5
88 88 2
89 89 2
90 90 2
91 91 2
92 92 3
93 93 5
94 94 1
95 95 3
96 96 3
97 97 2
98 98 2
99 99 5
100 100 3
101 101 5
102 102 3
103 103 3
104 104 5
105 105 1
106 106 3
107 107 4
108 108 2
109 109 4
110 110 4
111 111 4
112 112 3
113 113 4
114 114 2
115 115 5
116 116 3
117 117 2
118 118 1
119 119 4
120 120 1
121 121 1
122 122 4
123 123 4
124 124 5
125 125 3
126 126 4
127 127 5
128 128 4
129 129 1
130 130 4
131 131 3
132 132 3
133 133 1
134 134 3
135 135 3
136 136 1
137 137 3
138 138 3
139 139 5
140 140 1
141 141 4
142 142 5
143 143 5
144 144 4
145 145 4
146 146 1
147 147 1
148 148 4
149 149 3
150 150 1
151 151 1
152 152 2
153 153 3
154 154 4
155 155 5
156 156 1
157 157 4
158 158 5
159 159 2
160 160 3
161 161 5
162 162 2
163 163 3
164 164 3
165 165 2
166 166 3
167 167 3
168 168 5
169 169 3
170 170 4
171 171 4
172 172 2
173 173 2
174 174 3
175 175 1
176 176 4
177 177 1
178 178 2
179 179 4
180 180 4
181 181 5
182 182 3
183 183 5
184 184 2
185 185 4
186 186 4
187 187 4
188 188 1
