h2,SE,Pheno,PCs,Covariates,Time for analysis(s),Memory Usage
0.7680197015236699,0.02846857724289126,head_size,5,inter+inter_miss,5.66049612101051,769.652
0.7734720361349634,0.02856943447518454,head_size,10,inter+inter_miss,7.023844580020523,779.136
0.7680197015236699,0.02846857724289126,liver_size,5,inter+inter_miss,6.038543569011381,779.432
0.7734720361349634,0.02856943447518454,liver_size,10,inter+inter_miss,6.963941703026649,779.468
NA,0.02846857724289126,o2_level,5,inter+inter_miss,7.946226842002943,779.492
NA,0.02856943447518454,o2_level,10,inter+inter_miss,7.974555009015603,779.516
0.6129963204246066,0.043005833957960336,first100,5,inter+inter_miss,2.005919424002059,779.516
0.6086455121429926,0.0430127004493871,first100,10,inter+inter_miss,2.975887435983168,779.516
0.24947022179186282,0.11412338547429221,first1000,5,inter+inter_miss,1.024454947997583,779.516
0.22244788981827077,0.11513521090574279,first1000,10,inter+inter_miss,0.9502259569999296,779.516
2.02516975361468,0.7911010054925502,first3000,5,inter+inter_miss,0.03849172100308351,779.516
1.6197490457673827,0.5006143559330138,first3000,10,inter+inter_miss,0.947069007990649,779.516
