FID IID Inter Inter_miss Tidyness Happy_camper Like_of_levis abcd_site
1 1 1.0 0 -0.0521411423320655 -4.15319103327111 -0.69160400719928 1
2 2  1 0.32490202220862796 -0.133292724029327 -6.81345421584963 1
3 3 1.0 1 -3.0195590362119105 -2.99481209029868 0.8932094995540979 1
4 4 1.0 0 -5.928314106049809 0.48710341959254705 1.60644002923525 1
5 5  1 -5.01502385158879 6.37310754465628 5.5905024066357605 1
6 6 1.0 1 -3.7296605774519302 3.02193330679152 0.9730055377786121 1
7 7  1 2.8434069201457404 3.2274209590028704 1.70590908826449 1
8 8 1.0 1 -3.0901270801610696 3.3545617692762404 -7.1729253090502905 1
9 9 1.0 0 -0.409065893321224 -1.90954690344935 -6.67840443152076 1
10 10 1.0 1 -3.79425605500687 4.22697753540106 9.223952473085099 1
11 11 1.0 1 2.76101507869214 -6.72274016868708 -9.45743411976884 1
12 12 1.0 0 -2.39981125596424 2.8934853204605098 -2.39963885347189 1
13 13 1.0 1 -2.8601698887344997 6.52085339550542 3.14033256764021 1
14 14 1.0 0 -3.8218234175299104 3.8539342675905 0.6139956721050811 1
15 15 1.0 1 -7.34943064141507 -6.74944444951287 2.87781727088807 1
16 16 1.0 1 -2.4544092008313303 -1.6484174383767098 3.6824194240302996 1
17 17 1.0 1 -1.84977840209869 3.5882307484011697 -2.44646342728503 1
18 18 1.0 1 4.9253344144547 1.3197645762210701 -3.39277203522667 1
19 19 1.0 1 0.887798860425133 0.083656488787657 -4.3508640865335 1
20 20 1.0 0 3.9314266564341898 1.8863518751857 2.98594066944146 1
21 21 1.0 1 1.85917508618937 4.6833723087905 -4.954019885491991 1
22 22 1.0 1 -7.828602991577769 1.12477515687197 -4.18348345966318 1
23 23 1.0 1 -1.03988492757825 -2.9258192026293397 -2.57364389690245 1
24 24 1.0 1 -9.76255248297099 3.65400635730088 -1.59796792072849 1
25 25 1.0 1 6.76968130555462 7.594575791550209 -1.78709039542007 1
26 26 1.0 1 0.515220498546017 -5.686569065625569 -1.8878143455597902 1
27 27 1.0 1 -1.50151079610076 1.18199496447284 -2.8772332519933794 1
28 28 1.0 1 -1.32588065242143 -0.11247963656973 4.60795775224582 1
29 29 1.0 1 1.4200405915710699 -1.47205622858783 1.81694484108448 1
30 30 1.0 1 4.30460382866276 -5.90966432563463 6.219109638642559 1
31 31 1.0 1 -2.44521714133056 0.339253057147215 2.40943507058454 1
32 32 1.0 1 1.4354920995758602 1.26264096418108 -0.676917918872505 1
33 33 1.0 1 3.50869054308518 -1.73672598208866 -2.99414897476106 1
34 34 1.0 1 -3.43160418559579 1.61548300238869 -2.6458609830558597 1
35 35 1.0 1 -0.242989434316416 3.7042866696137797 3.4866823808176406 1
36 36 1.0 1 4.0259444837773195 2.33712883592982 -0.217971088646771 1
37 37 1.0 1 0.00832909890274426 3.42953592346259 7.983659795823329 1
38 38 1.0 1 -0.0755742088722102 -0.915401876463058 1.8123702580381498 1
39 39 1.0 1 -3.49880957146012 -1.4386240098246201 0.47124754538520797 1
40 40 1.0 1 -0.779280755592375 -1.5776480852729198 -2.67265794032052 1
41 41 1.0 1 2.1842610094128 -2.91253376198535 -6.77111805468536 1
42 42 1.0 1 -7.586185401671179 3.04928760960579 3.29831817203558 1
43 43 1.0 1 5.207523495662089 0.131170369301792 5.4081643908355 1
44 44 1.0 1 -3.67106268423725 1.04623042407749 -0.9324118487090122 1
45 45 1.0 1 7.14641636188957 -6.845694516672849 4.47661286477339 1
46 46 1.0 1 -1.3587825446006399 3.4294905361319703 -6.811643708848389 1
47 47 1.0 0 -8.21282149597611 6.5799860798948 3.52476251452681 1
48 48 1.0 1 2.27351190636621 3.8977513555567502 -4.05171989741314 1
49 49 1.0 1 0.8821082194889119 -2.4942626689773197 5.556400703175569 1
50 50 1.0 1 -0.9994718959956379 -2.62162747249812 -0.16940934213951003 1
51 51 1.0 1 1.21291993841647 1.7124985192621898 1.27739970249576 1
52 52 1.0 1 -1.3902761761340503 -4.12759080531206 7.9843218913083 1
53 53 1.0 1 -1.2607503933308501 -3.7291222293167 0.8183470359313559 1
54 54 1.0 1 -4.36175078091504 -7.55397642621331 -1.20106076501952 1
