Sites,Distribution,Rep,Combat,SWD
S50,EQUAL,0,1.0,1.0
S50,EQUAL,1,0.24265574368492868,0.2416256430800015
S50,EQUAL,2,0.4457600224796795,0.4445354418644793
S50,EQUAL,3,0.9217130914153805,0.9216543391854412
S50,EQUAL,4,0.8034522395703242,0.8019868405396462
S50,EQUAL,5,0.5032611990060202,0.5031175639554618
S50,EQUAL,6,1.0,1.0
S50,EQUAL,7,1.0,1.0
S50,EQUAL,8,0.137689609853898,0.1377362108611673
S50,EQUAL,9,0.7741474079703192,0.773775904796406
S50,EQUAL,10,0.2939842240695442,0.2937857906952396
S50,EQUAL,11,0.49924618119725594,0.49924981215954894
S50,EQUAL,12,1.0,1.0
S50,EQUAL,13,0.33875247716184936,0.3409901411292506
S50,EQUAL,14,0.9309228057091922,0.9306660866267653
S50,EQUAL,15,0.38775819677159773,0.3882532045603376
S50,EQUAL,16,0.3589538360298326,0.35718943065539893
S50,EQUAL,17,0.8125600218425868,0.8115008276807598
S50,EQUAL,18,0.927848444635724,0.9265317478833108
S50,EQUAL,19,1.0,1.0
S50,EQUAL,20,0.012407644896624414,0.012124133654306427
S50,EQUAL,21,1.0,1.0
S50,EQUAL,22,0.5730929656569375,0.5729747165975076
S50,EQUAL,23,0.6854791560488661,0.6853683636565141
S50,EQUAL,24,1.0,1.0
S50,EQUAL,25,0.010811770213777258,0.010872319685892296
S50,EQUAL,26,0.9415585118663397,0.9417905167892148
S50,EQUAL,27,1.0,1.0
S50,EQUAL,28,1.0,1.0
S50,EQUAL,29,0.06979299204964307,0.06932540706910541
S50,EQUAL,30,0.4542348983349901,0.4545237164508009
S50,EQUAL,31,0.7494495623631728,0.7475693923815667
S50,EQUAL,32,0.23642676050775904,0.23634929888102302
S50,EQUAL,33,0.25854404424530936,0.25852378378725244
S50,EQUAL,34,0.39267631327971136,0.3928749763439655
S50,EQUAL,35,1.0,1.0
S50,EQUAL,36,0.023985392768118213,0.023493684971180415
S50,EQUAL,37,0.6618912331769915,0.6622820217302577
S50,EQUAL,38,0.46081976161098304,0.4609283033092375
S50,EQUAL,39,0.24539183743683918,0.2453575581690264
S50,EQUAL,40,0.2484865027899871,0.24802387938069181
S50,EQUAL,41,0.6985686618576366,0.6979531837043272
S50,EQUAL,42,0.08783916474987377,0.08805619432410773
S50,EQUAL,43,0.8131553610560828,0.8135077845428893
S50,EQUAL,44,1.0,1.0
S50,EQUAL,45,0.6129407985897596,0.6129845610120002
S50,EQUAL,46,1.0,1.0
S50,EQUAL,47,0.7957617581549647,0.7954479996982897
S50,EQUAL,48,0.8886371365188889,0.8849831364025291
S50,EQUAL,49,0.06195454437364073,0.06148077476540658
S100,EQUAL,0,0.48063321975823964,0.4806553083378201
S100,EQUAL,1,0.14243006556078763,0.1424030668082765
S100,EQUAL,2,0.6834760140378247,0.6843588204004515
S100,EQUAL,3,1.0,1.0
S100,EQUAL,4,0.7640377802141934,0.7637561648899514
S100,EQUAL,5,0.14260343036829543,0.1436301948332294
S100,EQUAL,6,0.5586712357176888,0.5557521369755559
S100,EQUAL,7,1.0,1.0
S100,EQUAL,8,1.0,1.0
S100,EQUAL,9,0.010221388776070747,0.010219344561459651
S100,EQUAL,10,1.0,1.0
S100,EQUAL,11,0.063283850161034,0.06317055508385484
S100,EQUAL,12,1.0,1.0
S100,EQUAL,13,0.07581724950219258,0.07570859065874735
S100,EQUAL,14,1.0,1.0
S100,EQUAL,15,0.5464296355500439,0.5469411205420694
S100,EQUAL,16,0.8934066681842514,0.8926234426713633
S100,EQUAL,17,1.0,1.0
S100,EQUAL,18,1.0,1.0
S100,EQUAL,19,0.3197404993630959,0.3202789929927114
S100,EQUAL,20,0.7892727741298471,0.7893918457931173
S100,EQUAL,21,0.5825455940008697,0.5832493199553774
S100,EQUAL,22,0.007832761252812608,0.00784481373253153
S100,EQUAL,23,0.3965849140523366,0.3966171942570192
S100,EQUAL,24,0.21395407354456292,0.21010605243836544
S100,EQUAL,25,0.22984131390880938,0.22983110616712635
S100,EQUAL,26,1.0,1.0
S100,EQUAL,27,0.30774287275724277,0.3078475664248412
S100,EQUAL,28,1.0,1.0
S100,EQUAL,29,0.046841543932029855,0.04682653914117501
S100,EQUAL,30,0.0032049175711774828,0.003203250458176103
S100,EQUAL,31,0.25064087961896914,0.2480502453983087
S100,EQUAL,32,0.8332692072765688,0.8325952283966023
S100,EQUAL,33,0.7815588880530073,0.7811421606216964
S100,EQUAL,34,0.7758943134054087,0.7764775185363562
S100,EQUAL,35,0.4735701268051366,0.4734619614440239
S100,EQUAL,36,0.685057153737915,0.683464646809947
S100,EQUAL,37,0.4251832149861213,0.42519035444939784
S100,EQUAL,38,0.04204478238928938,0.04159584436814445
S100,EQUAL,39,0.6970152170318256,0.6969161625749667
S100,EQUAL,40,1.0,1.0
S100,EQUAL,41,0.24170474035188447,0.24185980966484266
S100,EQUAL,42,0.40204662358715143,0.401696263176435
S100,EQUAL,43,0.6528295597799407,0.6532080771632132
S100,EQUAL,44,1.0,1.0
S100,EQUAL,45,0.4251781908267901,0.42357374733842723
S100,EQUAL,46,1.0,1.0
S100,EQUAL,47,0.7417742172563675,0.7400018884825554
S100,EQUAL,48,1.0,1.0
S100,EQUAL,49,0.31170936707716473,0.3118782156482949
