Sites,Distribution,Rep,Combat,SWD
S2,EQUAL,0,0.2609103251682509,0.26206970205145685
S2,EQUAL,1,1.0,1.0
S2,EQUAL,2,0.5987918286786053,0.5980940178511719
S2,EQUAL,3,0.37128539920186915,0.3712774804073546
S2,EQUAL,4,1.0,1.0
S2,EQUAL,5,1.0,1.0
S2,EQUAL,6,1.0,1.0
S2,EQUAL,7,0.805834408828594,0.8059482982018829
S2,EQUAL,8,1.0,1.0
S2,EQUAL,9,0.8558279524532971,0.8558639984729544
S2,EQUAL,10,0.07420764093391366,0.07432057341167936
S2,EQUAL,11,0.6101391903718466,0.6101634571643035
S2,EQUAL,12,0.0005092321218854416,0.0005147891780394635
S2,EQUAL,13,0.8934916863066981,0.8935108684000076
S2,EQUAL,14,0.03692477731407495,0.037102883452126555
S2,EQUAL,15,0.7209519067407163,0.7207237120415151
S2,EQUAL,16,1.0,1.0
S2,EQUAL,17,0.0001643649405659975,0.00015495798009572612
S2,EQUAL,18,0.39037545874449336,0.3898034385109346
S2,EQUAL,19,1.0,1.0
S2,EQUAL,20,1.0,1.0
S2,EQUAL,21,0.39303582361537615,0.3930515394149703
S2,EQUAL,22,0.03403284063907807,0.03405069576145989
S2,EQUAL,23,0.9771851508270513,0.9770058165687869
S2,EQUAL,24,0.3332040311516263,0.33379739542665754
S2,EQUAL,25,0.559056751544937,0.5589542774428314
S2,EQUAL,26,0.8253638976462223,0.8252933361342184
S2,EQUAL,27,0.28776257982239467,0.28761260708225656
S2,EQUAL,28,1.0,1.0
S2,EQUAL,29,0.13632352566452346,0.13643848275009193
S2,EQUAL,30,1.0,1.0
S2,EQUAL,31,1.0,1.0
S2,EQUAL,32,0.042518400374214046,0.042649051540133376
S2,EQUAL,33,1.0,1.0
S2,EQUAL,34,0.27852552605572867,0.2787440857742794
S2,EQUAL,35,0.464172913107184,0.4638004107251323
S2,EQUAL,36,1.0,1.0
S2,EQUAL,37,0.23343689908862628,0.23333553004082747
S2,EQUAL,38,0.7745155595172706,0.7740427897988709
S2,EQUAL,39,0.3925436356613919,0.3928879475882727
S2,EQUAL,40,1.0,1.0
S2,EQUAL,41,1.0,1.0
S2,EQUAL,42,0.8651972173341407,0.8653360444144497
S2,EQUAL,43,1.0,1.0
S2,EQUAL,44,0.04554938249060316,0.04550846740017057
S2,EQUAL,45,1.0,1.0
S2,EQUAL,46,0.5286417339572662,0.5286657006797987
S2,EQUAL,47,0.05148060590517978,0.05149366794952187
S2,EQUAL,48,0.7562196311813209,0.7548680119198433
S2,EQUAL,49,1.0,1.0
S2,UNEQUAL,0,0.8710951888033425,0.8710771089084789
S2,UNEQUAL,1,0.04811018665154339,0.04818181552828209
S2,UNEQUAL,2,0.8568361088969136,0.8567374308143912
S2,UNEQUAL,3,0.015405466784375087,0.015402902393046966
S2,UNEQUAL,4,1.0,1.0
S2,UNEQUAL,5,1.0,1.0
S2,UNEQUAL,6,0.08352906828023925,0.08349546066159617
S2,UNEQUAL,7,0.3547860530845725,0.354835966164859
