Sites,Distribution,Rep,Combat,SWD
S2,EQUAL,0,0.2609103251682509,0.26206970205145685
S2,EQUAL,1,1.0,1.0
S2,EQUAL,2,0.5987918286786053,0.598094017851172
S2,EQUAL,3,0.37128539924587955,0.3712774803633388
S2,EQUAL,4,1.0,1.0
S2,EQUAL,5,1.0,1.0
S2,EQUAL,6,1.0,1.0
S2,EQUAL,7,0.805834408828594,0.8059482984088129
S2,EQUAL,8,1.0,1.0
S2,EQUAL,9,0.8558279524532971,0.8558639986900506
S2,EQUAL,10,0.07420764093391367,0.07432057340952583
S2,EQUAL,11,0.6101391902191221,0.6101634570115528
S2,EQUAL,12,0.0005092321218854417,0.0005147891780393495
S2,EQUAL,13,0.8934916867507741,0.8935108686220646
S2,EQUAL,14,0.036924777313547694,0.037102883452126555
S2,EQUAL,15,0.7209519067407162,0.7207237120415151
S2,EQUAL,16,1.0,1.0
S2,EQUAL,17,0.00016436494056597942,0.00015495798009570924
S2,EQUAL,18,0.39037545883704733,0.38980343855717553
S2,EQUAL,19,1.0,1.0
S2,EQUAL,20,1.0,1.0
S2,EQUAL,21,0.3930358235216582,0.39305153946183174
S2,EQUAL,22,0.03403284063858426,0.0340506957609658
S2,EQUAL,23,0.9771851508270513,0.9770058165687869
S2,EQUAL,24,0.3332040311911345,0.33379739542665754
S2,EQUAL,25,0.5590567514091419,0.5589542774428314
S2,EQUAL,26,0.825363897439491,0.8252933359274978
S2,EQUAL,27,0.2877625797882271,0.28761260708225656
S2,EQUAL,28,1.0,1.0
S2,EQUAL,29,0.13632352565661227,0.13643848274217127
S2,EQUAL,30,1.0,1.0
S2,EQUAL,31,1.0,1.0
S2,EQUAL,32,0.042518400375435764,0.042649051541359013
S2,EQUAL,33,1.0,1.0
S2,EQUAL,34,0.2785255260229507,0.2787440857742794
S2,EQUAL,35,0.464172913107184,0.4638004107251323
S2,EQUAL,36,1.0,1.0
S2,EQUAL,37,0.23343689906087897,0.2333355300130916
S2,EQUAL,38,0.7745155597138734,0.7740427897988709
S2,EQUAL,39,0.3925436356138763,0.3928879475882727
S2,EQUAL,40,1.0,1.0
S2,EQUAL,41,1.0,1.0
S2,EQUAL,42,0.8651972171126969,0.8653360441929617
S2,EQUAL,43,1.0,1.0
S2,EQUAL,44,0.045549382491250005,0.04550846740081689
S2,EQUAL,45,1.0,1.0
S2,EQUAL,46,0.5286417338294056,0.52866570055193
S2,EQUAL,47,0.05148060590517979,0.05149366795027645
S2,EQUAL,48,0.7562196311813207,0.7548680119198433
S2,EQUAL,49,1.0,1.0
S25,EQUAL,0,0.052148872576137935,0.052145349067291305
S25,EQUAL,1,0.14928054078703912,0.1493994705081175
S25,EQUAL,2,0.8350944524367183,0.8351206298404131
S25,EQUAL,3,0.24503905775101623,0.2450162549086451
S25,EQUAL,4,1.0,1.0
S25,EQUAL,5,0.0003821991726710211,0.0003836019182475177
S25,EQUAL,6,0.6684679474081262,0.6681537730924939
S25,EQUAL,7,1.0,1.0
S25,EQUAL,8,0.7568237793803421,0.7572455466245098
S25,EQUAL,9,0.5420566716956867,0.5420004982843563
S25,EQUAL,10,0.3008477808183443,0.30041762833573926
S25,EQUAL,11,0.06858568473184778,0.06893936683824609
S25,EQUAL,12,0.7884113149581194,0.7878911288967212
S25,EQUAL,13,0.4088469953859019,0.4092342827662092
S25,EQUAL,14,0.16618765077629205,0.16634889159599212
S25,EQUAL,15,0.11432483187760827,0.11437691537877748
S25,EQUAL,16,0.4163274250666377,0.4159779174907269
S25,EQUAL,17,0.017628200194881254,0.017640154722276556
S25,EQUAL,18,0.1888927756653422,0.1891000616113088
S25,EQUAL,19,0.26931007268482343,0.269394958452613
S25,EQUAL,20,8.703767973970663e-05,8.439606707425161e-05
S25,EQUAL,21,1.0,1.0
S25,EQUAL,22,0.0013025265096909765,0.0012896726063681703
S25,EQUAL,23,0.03497102526708649,0.03503188339516667
S25,EQUAL,24,0.6940945478414592,0.6942734412578717
S25,EQUAL,25,0.11697848642520527,0.11697748657948086
S25,EQUAL,26,0.0666377090544492,0.0666600332626323
S25,EQUAL,27,0.3716514762074512,0.3717299913089207
S25,EQUAL,28,1.0,1.0
S25,EQUAL,29,1.0,1.0
S25,EQUAL,30,1.0,1.0
S25,EQUAL,31,1.0,1.0
S25,EQUAL,32,1.0,1.0
S25,EQUAL,33,0.19700287977283185,0.19681685577190502
S25,EQUAL,34,0.873920831626368,0.8742865605115241
S25,EQUAL,35,0.5366603012483329,0.5368722765749293
S25,EQUAL,36,0.7798237369307259,0.779977490154003
S25,EQUAL,37,0.5496473096902619,0.5499941237440984
S25,EQUAL,38,0.49417924761340704,0.49431384682138885
S25,EQUAL,39,0.8945926523487631,0.8950390946241997
S25,EQUAL,40,0.300857153808686,0.3008810521319806
S25,EQUAL,41,1.0,1.0
S25,EQUAL,42,1.0,1.0
S25,EQUAL,43,1.0,1.0
S25,EQUAL,44,0.9264584092477134,0.9256629892153065
S25,EQUAL,45,0.05972808230278969,0.05974625619279677
S25,EQUAL,46,0.20202106384999693,0.201962600914421
S25,EQUAL,47,1.0,1.0
S25,EQUAL,48,0.21590618024712252,0.21570432712329013
S25,EQUAL,49,0.3702052418572685,0.3702726693822708
