Sites,Distribution,Rep,Combat,SWD
S2,EQUAL,0,0.26091032516825086,0.26206970205145685
S2,EQUAL,1,1.0,1.0
S2,EQUAL,2,0.598791828822138,0.5980940179946085
S2,EQUAL,3,0.3712853992458796,0.3712774804073546
S2,EQUAL,4,1.0,1.0
S2,EQUAL,5,1.0,1.0
S2,EQUAL,6,1.0,1.0
S2,EQUAL,7,0.8058344084148198,0.8059482979949528
S2,EQUAL,8,1.0,1.0
S2,EQUAL,9,0.8558279524532971,0.8558639986900507
S2,EQUAL,10,0.07420764093176374,0.07432057340952584
S2,EQUAL,11,0.6101391902191221,0.6101634571643036
S2,EQUAL,12,0.0005092321218854412,0.0005147891780394627
S2,EQUAL,13,0.8934916863066981,0.8935108686220646
S2,EQUAL,14,0.036924777314074946,0.037102883452126555
S2,EQUAL,15,0.7209519065669844,0.7207237118678108
S2,EQUAL,16,1.0,1.0
S2,EQUAL,17,0.00016436494056598787,0.0001549579800957179
S2,EQUAL,18,0.3903754587907703,0.3898034385109346
S2,EQUAL,19,1.0,1.0
S2,EQUAL,20,1.0,1.0
S2,EQUAL,21,0.3930358235216582,0.39305153946183174
S2,EQUAL,22,0.03403284063907807,0.03405069576145989
S2,EQUAL,23,0.9771851508270513,0.9770058165687869
S2,EQUAL,24,0.3332040311911344,0.3337973954266575
S2,EQUAL,25,0.5590567514091418,0.5589542774428314
S2,EQUAL,26,0.8253638976462223,0.8252933361342184
S2,EQUAL,27,0.2877625798223947,0.28761260708225656
S2,EQUAL,28,1.0,1.0
S2,EQUAL,29,0.1363235256645235,0.13643848275009193
S2,EQUAL,30,1.0,1.0
S2,EQUAL,31,1.0,1.0
S2,EQUAL,32,0.042518400375435764,0.042649051541359013
S2,EQUAL,33,1.0,1.0
S2,EQUAL,34,0.2785255260557287,0.2787440857742794
S2,EQUAL,35,0.4641729131071839,0.4638004107251323
S2,EQUAL,36,1.0,1.0
S2,EQUAL,37,0.23343689908862625,0.23333553006856333
S2,EQUAL,38,0.7745155595172707,0.774042789798871
S2,EQUAL,39,0.3925436356613919,0.3928879475882727
S2,EQUAL,40,1.0,1.0
S2,EQUAL,41,1.0,1.0
S2,EQUAL,42,0.8651972171126969,0.8653360441929617
S2,EQUAL,43,1.0,1.0
S2,EQUAL,44,0.045549382491250005,0.04550846739952428
S2,EQUAL,45,1.0,1.0
S2,EQUAL,46,0.5286417339572662,0.5286657006797986
S2,EQUAL,47,0.05148060590593418,0.05149366795103104
S2,EQUAL,48,0.7562196309974539,0.7548680119198434
S2,EQUAL,49,1.0,1.0
S2,UNEQUAL,0,0.8710951888033425,0.8710771093366612
S2,UNEQUAL,1,0.048110186650210454,0.04818181552694705
S2,UNEQUAL,2,0.8568361088969136,0.8567374308143911
S2,UNEQUAL,3,0.01540546678448473,0.015402902393266232
S2,UNEQUAL,4,1.0,1.0
S2,UNEQUAL,5,1.0,1.0
S2,UNEQUAL,6,0.08352906828263501,0.08349546066159616
S2,UNEQUAL,7,0.35478605316684175,0.35483596620600144
S2,UNEQUAL,8,0.2793952936313523,0.27925256047956043
S2,UNEQUAL,9,0.35803090536488325,0.35788802955472737
S2,UNEQUAL,10,1.0,1.0
S2,UNEQUAL,11,0.9367737933909587,0.9373090778989691
S2,UNEQUAL,12,1.0,1.0
S2,UNEQUAL,13,0.23636019682621484,0.23624889814348837
S2,UNEQUAL,14,0.4662513190408629,0.4659333942831869
S2,UNEQUAL,15,0.07995237141460244,0.08009301388178157
S2,UNEQUAL,16,1.0,1.0
S2,UNEQUAL,17,0.00019946902906966928,0.00019776339540179713
S2,UNEQUAL,18,0.13305804929191084,0.13284036576420769
S2,UNEQUAL,19,0.20708156358468954,0.2069615344344098
S2,UNEQUAL,20,1.0,1.0
S2,UNEQUAL,21,0.2242865359840322,0.2244670451492765
S2,UNEQUAL,22,1.0,1.0
S2,UNEQUAL,23,0.004168568195089175,0.004165481931340317
S2,UNEQUAL,24,0.05339453834178152,0.05341301622100219
S2,UNEQUAL,25,1.0,1.0
S2,UNEQUAL,26,0.6036310129940476,0.6032850934504171
S2,UNEQUAL,27,0.015537767491138868,0.015599579518030418
S2,UNEQUAL,28,1.0,1.0
S2,UNEQUAL,29,0.18319953980245704,0.1831925108285771
S2,UNEQUAL,30,1.0,1.0
S2,UNEQUAL,31,0.4926428695942285,0.4923579328479306
S2,UNEQUAL,32,0.3251160101571486,0.3250280614169584
S2,UNEQUAL,33,0.7740353610345013,0.773599440742573
S2,UNEQUAL,34,0.9022436264192928,0.9023078158964181
S2,UNEQUAL,35,0.6672710773379512,0.6671301122043845
S2,UNEQUAL,36,1.0,1.0
S2,UNEQUAL,37,0.9382054824181533,0.9378726173310163
S2,UNEQUAL,38,1.0,1.0
S2,UNEQUAL,39,1.0,1.0
S2,UNEQUAL,40,0.027137276097985493,0.027145343488089835
S2,UNEQUAL,41,0.11696509912993346,0.11689345651613281
S2,UNEQUAL,42,1.0,1.0
S2,UNEQUAL,43,0.05495114137994909,0.054728224701533636
S2,UNEQUAL,44,0.49762418731529606,0.49766570172980756
S2,UNEQUAL,45,0.9282422327058641,0.927845751533467
S2,UNEQUAL,46,0.14457017927885696,0.14439520965762467
S2,UNEQUAL,47,0.0861025452639879,0.08600381887465962
S2,UNEQUAL,48,1.0,1.0
S2,UNEQUAL,49,0.011092103343321603,0.011212868128580376
S25,EQUAL,0,0.7551640765060358,0.7554840691416361
S25,EQUAL,1,0.8839329256911257,0.8837366167183918
S25,EQUAL,2,0.705121759085278,0.7036701350277538
S25,EQUAL,3,0.9892063490552577,0.9891750203644593
S25,EQUAL,4,0.12705950708480301,0.1270344685168878
S25,EQUAL,5,0.45662961677907987,0.45649407634332984
S25,EQUAL,6,0.7568741212663667,0.7569164227118288
S25,EQUAL,7,0.6428047128585506,0.6427797036788615
S25,EQUAL,8,0.8210683501785767,0.8201729697191705
S25,EQUAL,9,0.883665594675017,0.8828236922170783
S25,EQUAL,10,1.0,1.0
S25,EQUAL,11,0.13485785676543807,0.13503510639910432
S25,EQUAL,12,0.8105666308199073,0.8107751234918058
S25,EQUAL,13,1.0,1.0
S25,EQUAL,14,0.65236217373957,0.6524163699772956
S25,EQUAL,15,0.1125593349392176,0.11256119570334691
S25,EQUAL,16,1.0,1.0
S25,EQUAL,17,0.8267908764140667,0.8269312474188966
S25,EQUAL,18,0.33404665024058944,0.3348503519527529
S25,EQUAL,19,0.2784239318264385,0.2785385471302687
S25,EQUAL,20,0.034119277622778776,0.03420937671951606
S25,EQUAL,21,1.0,1.0
S25,EQUAL,22,1.0,1.0
S25,EQUAL,23,0.051970232102940765,0.051836607985824894
S25,EQUAL,24,0.3889825111451481,0.3872675874762503
S25,EQUAL,25,0.2346015225902797,0.23466721822628442
S25,EQUAL,26,0.7700461437687627,0.7699797873776665
S25,EQUAL,27,0.025613843136966588,0.02570994578193889
S25,EQUAL,28,2.7216743743911467e-05,2.806657304364376e-05
S25,EQUAL,29,0.5921060548851715,0.5915845630262104
S25,EQUAL,30,1.0,1.0
S25,EQUAL,31,0.033012958584670064,0.03257123394961942
S25,EQUAL,32,0.0015992514953788407,0.0015872312079982926
S25,EQUAL,33,0.21728431846418692,0.21729188646973557
S25,EQUAL,34,0.017766325103368955,0.01772848311853798
S25,EQUAL,35,1.0,1.0
S25,EQUAL,36,1.0,1.0
S25,EQUAL,37,1.0,1.0
S25,EQUAL,38,0.02444397456985199,0.024414525616588446
S25,EQUAL,39,0.015876326669692842,0.01581972703342901
S25,EQUAL,40,0.12083781077245562,0.12141088314145089
S25,EQUAL,41,0.620556946373488,0.6210287826563221
S25,EQUAL,42,0.20628959963058457,0.20644995638006064
S25,EQUAL,43,0.015718077159974718,0.015690041612653763
S25,EQUAL,44,0.23488621518589056,0.23432526752018806
S25,EQUAL,45,0.6430511606089713,0.6433074543839773
S25,EQUAL,46,0.02442622415285803,0.024436571091523036
S25,EQUAL,47,1.0,1.0
S25,EQUAL,48,0.10976090510426473,0.10975772722916266
S25,EQUAL,49,1.0,1.0
S25,UNEQUAL,0,0.8676472764715445,0.868397843321719
S25,UNEQUAL,1,0.6130984302037195,0.6138491584237261
S25,UNEQUAL,2,0.5897792786224509,0.5899271885445466
S25,UNEQUAL,3,1.0,1.0
S25,UNEQUAL,4,0.014377429765081618,0.014395879311285633
S25,UNEQUAL,5,0.07965162834013988,0.07965297675854252
S25,UNEQUAL,6,0.5527269300145334,0.5526997864697997
S25,UNEQUAL,7,0.23448680916089332,0.234423212837446
S25,UNEQUAL,8,0.00600408765926985,0.005940272040456709
S25,UNEQUAL,9,0.14906201488150841,0.14914216799713145
S25,UNEQUAL,10,0.46151841896768714,0.4613338534301267
S25,UNEQUAL,11,0.0030280110175535313,0.0030332941115278496
S25,UNEQUAL,12,0.9060914452953486,0.9062213059180605
S25,UNEQUAL,13,0.5248564061646651,0.5247098285183236
S25,UNEQUAL,14,0.9415115919127226,0.9416386748980129
S25,UNEQUAL,15,0.3421091727202279,0.34204123135181835
S25,UNEQUAL,16,0.0003215249752560402,0.00033548687016583773
S25,UNEQUAL,17,0.004419020330367745,0.004420427697096041
S25,UNEQUAL,18,1.0,1.0
S25,UNEQUAL,19,0.7024355451640171,0.7023141703121818
S25,UNEQUAL,20,0.6239106468115269,0.6239960260308127
S25,UNEQUAL,21,0.3421873457011495,0.34264661179389655
S25,UNEQUAL,22,0.00021042977545253637,0.0002016092275596745
S25,UNEQUAL,23,0.3406332735548288,0.339390741913587
S25,UNEQUAL,24,0.005564136692844956,0.005619626830263542
S25,UNEQUAL,25,0.6850309918698826,0.685088572225149
S25,UNEQUAL,26,1.0,1.0
S25,UNEQUAL,27,0.292026681235732,0.2919363727288219
S25,UNEQUAL,28,0.28510325248219587,0.2850403374125143
S25,UNEQUAL,29,0.18609518334374472,0.18629576655664962
S25,UNEQUAL,30,0.76808884464216,0.7682559266472333
S25,UNEQUAL,31,0.0007042467764945516,0.0006978641313004185
S25,UNEQUAL,32,0.617293978184966,0.6147338468668303
S25,UNEQUAL,33,0.1534644375769988,0.15314123893297457
S25,UNEQUAL,34,0.22959621660298205,0.22973844156161816
S25,UNEQUAL,35,1.0,1.0
S25,UNEQUAL,36,0.3797425293017262,0.37974528687064585
S25,UNEQUAL,37,0.6172473238461216,0.6173640178763321
S25,UNEQUAL,38,0.017942979081504357,0.017897485327644635
S25,UNEQUAL,39,0.39443061704175886,0.3942203485756955
S25,UNEQUAL,40,0.6917658652535066,0.6918950040972077
S25,UNEQUAL,41,1.0,1.0
S25,UNEQUAL,42,1.0,1.0
S25,UNEQUAL,43,0.47707633017218865,0.47702987209771947
S25,UNEQUAL,44,0.8778018082479335,0.8777420507533789
S25,UNEQUAL,45,0.0004498783213890572,0.0004572280469280088
S25,UNEQUAL,46,0.08149827599043168,0.08148582459676458
S25,UNEQUAL,47,1.0,1.0
S25,UNEQUAL,48,0.3318851651048265,0.3324073187378968
S25,UNEQUAL,49,0.192948465894268,0.19255461048636024
