Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,1e-06,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.01040096,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.01428905743876885,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,4.990344093561137e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,3.375093713613438e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,3.663656863568312e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0035528173829838935,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.022573,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.03149783849999999,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.00728084515546706,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.020744,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.022888567,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.018506074590459907,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.005391273156178485,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.00372,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0229919735,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.006009336267697049,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.014997,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.029423355999999998,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.008698113788557019,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,3.7201524743417065e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,7.21579433433421e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,6.147150432010444e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0016068936537699345,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.0056359999999999995,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.02422354,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.008355604491451167,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,4.7879877104583774e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,3.958153642343339e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,4.4855347687848534e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.000725636852835347,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.0035479999999999995,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.015972625,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.008908788398251419,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.015412864999999998,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.005789802510141939,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,4.408618654741769e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.00669527325832833,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.00013461249904425096,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.030005,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.011842379,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0030868080590114445,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,2.847878030650183e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,3.15871657635277e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.015247947,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.010415749711461395,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.027819,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.022096101500000003,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.015566001849062788,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.00010675384313736475,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,7.799734508922971e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.00010988194863885859,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.010114376999999997,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0065902578283541565,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.020452336,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.009237924600243676,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0002464292569905467,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.028400022000000004,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.004456193883983296,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,2.993040546859792e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,6.539289334917925e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,7.679003572267063e-05,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,0.026139999999999997,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.0543576185,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.0026575258427932163,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0007262161921976271,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.00047057803463731486,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nGCTA_est,0.019115486,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
nAdjHE_est,0.006574676562471023,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
SWD_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
Combat_est,0.0,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
AdjHE_RE,0.0020765872351255757,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,2000,25,0.9,5,0.05,5,200,EQUAL,3,False
