Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
GCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nGCTA,0.1850375765,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nAdjHE,0.0041832989760360335,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE,0.0007956080686168557,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
SWD,0.0007956080686168549,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
Combat,0.0008052976466928939,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE_RE,0.0007941498903001197,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
GCTA,0.19783399999999998,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nGCTA,0.387866022,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nAdjHE,0.001707753446593611,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE,0.0035506697738223276,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
SWD,0.0035506697738223237,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
Combat,0.00399051005187015,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE_RE,0.003547872111768398,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
GCTA,0.056897,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nGCTA,0.149379918,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nAdjHE,3.462961654095169e-05,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
SWD,0.0,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
Combat,0.0,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
GCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nGCTA,0.017249920000000002,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nAdjHE,0.0006649669763212789,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
SWD,0.0,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
Combat,0.0,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
GCTA,0.147843,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nGCTA,0.2978711845,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nAdjHE,0.0005275151244075919,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE,4.9781112911811794e-05,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
SWD,4.9781112911813264e-05,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
Combat,0.00010389874649884573,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
AdjHE_RE,4.870949600198341e-05,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
GCTA,0.10468,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
nGCTA,0.130459912,1e-06,1e-06,1.0,2000,2,0.1,5,0.02,5,20000,EQUAL,3,False,True
