Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,0.019943,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
nGCTA_est,0.01661377449999999,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
nAdjHE_est,0.00664484062098762,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
AdjHE_FE,0,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
SWD_est,0,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
Combat_est,0,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
AdjHE_RE,1.9321777630329e-4,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
GCTA_est,0.01121,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
nGCTA_est,0.03745829649999999,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
nAdjHE_est,0.01296109816635551,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
AdjHE_FE,0,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
SWD_est,0,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
Combat_est,0,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
AdjHE_RE,1.0530764936374e-4,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
GCTA_est,1e-6,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
nGCTA_est,0.016400798,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
nAdjHE_est,0.00735500551389711,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
AdjHE_FE,0,1e-6,1e-6,1,2000,25,0.9,5,0.05,5,200,IID,3,FALSE
