Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,0.017734,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,0.0036765443999999996,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,0.0030454151999999997,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.0003683409445465129,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0008185202631318258,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,3.4696212374175814e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
SWD_est,3.4696212374175826e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
Combat_est,3.6417687216560863e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,0.000166691,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.00020492288256071905,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
GCTA_est,0.001015,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,1.03784e-05,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,4.1465626876102086e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
SWD_est,4.146562687610206e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
Combat_est,4.172386115239098e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,1.0000000000000002e-06,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.0003419431461986528,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
GCTA_est,0.000122,1e-06,1e-06,1.0,5000,2,0.9,5,0.05,5,200,IID,3,False
