Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,0.015667,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,0.0071347948,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.003898698414927582,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0002854275086895918,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,0.0007126316,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.0029561113973583285,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,4.9201857992233175e-05,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
Combat_est,2.512250638731957e-05,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
GCTA_est,0.00331,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,0.0044671754000000004,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.004674853613977491,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,0.0031616434,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nAdjHE_est,0.002813768099362573,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
GCTA_est,0.004535,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
nGCTA_est,0.007419354,1e-06,1e-06,1.0,5000,25,0.9,5,0.05,5,200,IID,3,False
