Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,0.00425562,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,0.00446346062420527,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,2.3812766315186e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,2.3812766315186e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,1.7713470182779e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
GCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,6.6123999999999e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,0.00129017645447252,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,2.7885565633701e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,2.7885565633701e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,1.0695371149484e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
GCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,7.56872e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,9.1301192694367e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,8.789996515717463e-5,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,8.789996515717336e-5,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,8.510735374371242e-5,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
GCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,0.05180623200000001,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,3.6677951301586e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,5.789852826036054e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,5.789852826036151e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,0,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
GCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,1.0000000000000002e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,0.00112423655103178,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,5.7284120117759e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,5.7284120117759e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,3.9134375188558e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
GCTA_est,0.002537,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,0.00915479731532732,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,0.00992513372265391,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,0.00992513372265231,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,0.0110576804826228,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0.00234101753176293,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
GCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,0.00316927085525921,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,7.431424337626011e-5,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,7.431424337626015e-5,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,5.903272054955992e-5,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
GCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,1e-6,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,0.00172502944524778,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,0.00103927868481033,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,0.00103927868481031,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,9.777460013036e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
GCTA_est,0.01940099999999999,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nGCTA_est,9.999999999999995e-7,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
nAdjHE_est,0.0054736886812782,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_FE,9.2586014618711e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
SWD_est,9.2586014618709e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
Combat_est,9.5067116419419e-4,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
AdjHE_RE,0.00116225907264135,1e-6,1e-6,1,2000,2,0.9,1,0.05,1,200,"EQUAL, IID",3,FALSE
