GCTA,nGCTA,nAdjHE,AdjHE,SWD,Combat,AdjHE_RE,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
0.762439,0.49916520360000005,0.19547436734796217,0.37458932781082555,0.16680469259115546,0.16292625571865127,0.49826678815469255,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.700649,0.5187980204,0.14414108022432323,0.17285102966520563,0.11940989731811955,0.11228201241354405,0.2192260189641928,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.745062,0.736120793,0.33836560981171904,0.449960794961473,0.29849951385205353,0.29287453197659324,0.5797654770046174,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.754329,0.8591454000000002,0.6087404790033947,1.0,0.5528309589342882,0.5001961930828601,1.0,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.721801,0.7239607032,0.38301893758021455,0.4882984783574858,0.3109376719246494,0.2948233238223285,0.588879925352572,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.7141069999999999,0.21315804000000002,0.00698610124873178,0.027103229542702913,0.006115455926686473,0.005408721516635992,0.02711218194340124,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.727136,0.5097928418,0.19344422112065326,0.2671446739917451,0.17022822830847886,0.1611402489841843,0.33602283364028374,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.713376,0.640595796,0.30347889569999414,0.41849669320933564,0.2327909261296024,0.21324848084681944,0.4947623958605297,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.7386689999999999,0.9738746629999999,0.7961480700657466,1.0,0.9830834249413054,0.9179385371939965,1.0,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
0.720413,0.6678822556,0.37889663802553425,0.4737785008537048,0.3326730346712803,0.3188709413312491,0.5762208327011825,0.5,0.25,0.25,5000,25,0.1,2,0.02,0,20000,EQUAL,3,False,False
