Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
GCTA,1e-06,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.3271979295,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.004453837207503105,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.002023999461797482,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
SWD,0.0006109349284377786,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
Combat,0.0008606700613556654,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.001972599794250361,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
GCTA,0.184558,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.374029522,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.008406317318977747,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.0,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
SWD,0.0,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
Combat,0.0,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
GCTA,1e-06,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.2514692395,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
nAdjHE,0.03347167502169076,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
AdjHE,0.0,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
SWD,0.0,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
Combat,0.0,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
GCTA,1e-06,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
nGCTA,0.31179166750000004,1e-06,1e-06,1,2000,25,0.1,5,0.02,5,20000,EQUAL,3,False,False
