Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
GCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.0345478955,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.03547948141139718,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.147455,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.141740958,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.14284397994993706,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.15025373544776754,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.15025373544776754,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.1507652792514562,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.15015065430509508,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.036823,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.0427072545,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.05033663756172443,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.03975810210809961,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.03975810210809961,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.039612543246456335,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.039786400810055564,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.123168,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.0206011975,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.024947417454758338,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.12470429176255411,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.12470429176255411,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.12552132042744427,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.12465668731796145,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,1e-06,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.072913,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.205349061,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.19262048189413872,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.07659397827200003,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.07659397827200003,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.07676678564178212,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.07652765784828137,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.16384500000000002,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.218027472,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.23381878036523152,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.17615396940369418,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.17615396940369418,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.17620147375041287,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.1760367913687618,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.122084,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.1178735755,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.11894993105225743,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.13863404368083498,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.13863404368083498,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.13662454218136744,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.1386181510344369,1e-06,1e-06,1.0,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.3618250895,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.3716706227489803,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.039425999999999996,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.451980659,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.45384022236708405,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.03387155189920432,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.039127095713318565,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.02912254884872268,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.03327209008397997,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.4455494075,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.44417346995277607,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.33035873099999996,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.3308040843165827,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.383354398,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.3961007106557623,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.086756,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.4021921645,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.43777570312849184,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0807684838693114,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.09369452653501287,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0715954967253621,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.07969732383243436,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.46739295149999993,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.46806028734493177,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.3654117515,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.37840599392178714,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.049504,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.413532484,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.4201159399653287,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.05740232626072612,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.04995982793469676,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.049368978787666426,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.056905540193545885,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.27042128099999996,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.2991209921395723,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,25,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.41318999999999995,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.412134698,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nAdjHE,0.39947583213247556,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE,0.37439420415017005,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
SWD,0.37439420415017005,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
Combat,0.3745513093751955,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
AdjHE_RE,0.3742227739810905,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
GCTA,0.188642,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
nGCTA,0.1136715575,0.25,1e-06,0.75,2000,2,0.1,1,0.02,0,20000,IID,3,False,False
