Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,0.11308800000000001,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nGCTA_est,0.205491916,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nAdjHE_est,0.013394410505443669,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
SWD_est,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
Combat_est,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nGCTA_est,0.22791567599999998,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nAdjHE_est,0.06350641903849122,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
SWD_est,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
Combat_est,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_RE,0.017120252948455837,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nGCTA_est,0.146276872,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nAdjHE_est,0.06211237602854379,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_FE,0.0004123880229007092,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
SWD_est,0.0004755319895731635,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
Combat_est,0.00034364937310596297,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nGCTA_est,0.184817926,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nAdjHE_est,0.04238254264202561,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_FE,0.00047040588157678615,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
SWD_est,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
Combat_est,0.00025227461417945537,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nGCTA_est,0.18789390400000003,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
nAdjHE_est,0.08229130613702411,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
AdjHE_FE,0.00968007544081401,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
SWD_est,0.0,1e-06,1e-06,1.0,500,30,0.5,5,0.05,5,200,IID,5,False
