Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0116850058,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.005207605285092226,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,0.013915,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0044898416,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.008678830698348667,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,4.49081331774598e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,4.476752281512061e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,4.46640688152498e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0006163229534833029,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.012871881600000003,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.007356092681854798,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,0.002439,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0035889582000000002,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0027575672870979034,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,0.002546,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0038538082000000003,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0030937555978372442,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,0.002242,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0039491746,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0024491754694077055,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.00018050810758423098,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0463418102,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0043355805038805895,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,2.245305508947221e-05,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,9.002869678383651e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,9.009348514941276e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.00025431187361544915,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0673488722,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0035747342967869405,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,9.555671353864366e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,0.041439,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.007214658599999999,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0017850072531167046,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,1.537809309685204e-05,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,0.010294,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.002912189,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.004311705370313428,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,1.1112334730417502e-05,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,0.006735,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0080403686,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0016779789313515704,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,3.9668961595549745e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,7.566303345725969e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,8.250413027619764e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0073395138,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.006736326473884487,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
SWD_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
Combat_est,0.0,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
AdjHE_RE,0.0021309551386876836,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
GCTA_est,1e-06,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nGCTA_est,0.0019474278000000001,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
nAdjHE_est,0.0027219091312180926,1e-06,1e-06,1.0,5000,25,0.9,4,0.05,5,200,EQUAL,5,False
