Estimator,Estimate,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep
GCTA,0.004527000000000001,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_GCTA,0.0187786225,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_AdjHE,0.01408437418554057,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_RE,0.0010312313618524112,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_GCTA,0.03666662699999999,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_AdjHE,0.012616359979867512,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_FE,3.233772416045672e-05,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_GCTA,0.023338879999999996,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_AdjHE,0.005181189445347344,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_RE,0.0006894389979414173,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
GCTA,0.005422,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_GCTA,0.022291428,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_AdjHE,0.0057654239463207834,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_FE,0.0,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_RE,0.00020719266793731465,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_GCTA,0.026631424000000004,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_AdjHE,0.010407661714659885,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_FE,6.044112204677639e-05,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
AdjHE_RE,0.0,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
GCTA,1e-06,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_GCTA,0.0159022215,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
Naive_AdjHE,0.016860156220320745,1e-06,1e-06,1.0,2000,30,0.25,5,0.25,5,20,EQUAL,5,False
