Site, Female, <50k, >100k, 50-100k, Unknown, Asian, Black, Hispanic, White, Other 
1, 111, 93, 77, 42, 37, 8, 16, 148, 47, 30  
2, 38, 5, 53, 23, 3, 2, 0, 13, 65, 4  
3, 213, 234, 74, 102, 58, 0, 64, 348, 39, 17  
4, 234, 209, 116, 139, 48, 3, 67, 103, 222, 117  
5, 121, 71, 99, 64, 21, 1, 67, 9, 152, 26  
6, 227, 68, 218, 136, 27, 8, 15, 75, 296, 55  
7, 114, 71, 100, 49, 25, 6, 44, 36, 137, 22  
8, 106, 33, 149, 34, 22, 32, 3, 54, 104, 45  
9, 151, 67, 161, 81, 31, 12, 32, 129, 116, 51  
10, 225, 189, 151, 108, 60, 11, 20, 306, 137, 34  
11, 160, 130, 76, 91, 29, 2, 63, 32, 194, 35  
12, 195, 113, 180, 77, 59, 10, 151, 37, 176, 55  
13, 257, 123, 237, 145, 30, 7, 97, 45, 321, 65  
14, 54, 8, 74, 32, 2, 1, 2, 6, 95, 12  
15, 170, 211, 41, 50, 53, 2, 192, 14, 94, 53  
16, 269, 110, 221, 272, 19, 1, 7, 74, 504, 36  
17, 216, 53, 254, 123, 23, 9, 3, 17, 396, 28  
18, 142, 53, 154, 95, 11, 6, 29, 26, 219, 33  
19, 47, 27, 26, 28, 8, 0, 31, 5, 42, 11  
20, 96, 79, 49, 72, 14, 0, 95, 5, 91, 23  
21, 181, 85, 170, 101, 45, 5, 63, 99, 206, 28  
22, 20, 8, 18, 5, 2, 2, 5, 6, 16, 4  


