GCTA,nGCTA,nAdjHE,AdjHE,SWD,Combat,AdjHE_RE,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
0.612197,0.536644012,0.5562483666856158,0.5839761042549269,0.5770362339049158,0.567944414989062,0.5828768074397167,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.471664,0.5909811939999999,0.6021944547636183,0.5154794268896885,0.509562579178208,0.5029799967886358,0.5157325057532292,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.467158,0.306622415,0.31985074830335336,0.49563351917244713,0.48460379965209066,0.48580762976874936,0.49440368509482757,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.45198,0.47301042149999994,0.4901175100569004,0.4078673964095803,0.3911707383904214,0.3910694992202375,0.4095392881906373,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.523077,0.4791934875,0.4922637691277581,0.5102827711634368,0.48870729635526067,0.48845936764465797,0.508186600507968,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.471347,0.4075495835,0.4311453868546812,0.49679502233243333,0.5052037322113188,0.4913550631104044,0.4960394313124109,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.332482,0.605881491,0.6106942733020277,0.3446319034161982,0.3308259998832332,0.31579882262215825,0.34257953101904803,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.609949,0.5105517165000001,0.48945488745253574,0.5954387266007022,0.5947944226027496,0.581994833833219,0.5935334706106592,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.45892200000000005,0.577155117,0.6062705282168291,0.4753690893196451,0.4729358121988568,0.45887560536320127,0.47481951054196553,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
0.610784,0.4501698915,0.4549071850436124,0.6252589967582205,0.6156131633456507,0.6290154754413492,0.6250244165741882,0.5,1e-06,0.5,2000,25,0.1,1,0.02,0,20000,EQUAL,3,False,False
