GCTA,nGCTA,nAdjHE,AdjHE,SWD,Combat,AdjHE_RE,sg,ss,se,nsubjects,nsites,theta_alleles,nclusts,prop_causal,nnpc,nSNPs,site_comp,dominance,site_dep,site_het
0.648263,0.4984094134,0.4544541286668957,0.4360612508426999,0.7864804176241011,0.7858715648318945,0.705531255351995,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.636731,0.6141653086000001,0.5683586589709165,0.557719678300379,0.7085966205643773,0.7046025421380964,0.6321810967760381,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.664656,0.653067859,0.579255006571482,0.4760944480320556,0.6208166995464477,0.6161811257649373,0.6382341701344512,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.678575,0.6059763873999999,0.4920047796413803,0.0,0.0,0.0,0.6719009497182771,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.689238,0.5499215588,0.5539341749358893,0.4861358559884735,0.7093741803496184,0.7151869402312838,0.6737164818320551,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.707611,0.6227508160000002,0.607506729536109,0.6247383183956323,0.840188567088817,0.8400941779805036,0.7012984194889558,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.686142,0.6337842758,0.6705638824025526,0.5851306127085432,0.7527739000826795,0.7441499621833139,0.664339218789742,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.695194,0.5761800606,0.5680284648580702,0.5517573476993654,0.5874920804139662,0.609170507795461,0.655736665885352,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.667374,0.460232782,0.4036715642380325,0.6612141260290896,0.7739017984539094,0.7772188131012328,0.7356905431960835,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.682037,0.565282084,0.5928493401449814,0.6195997679378298,0.8418690419535577,0.8338192803328376,0.6993381731191208,0.5,0.25,0.25,5000,25,0.1,1,0.02,1,20000,IID,3,False,False
0.628375,0.6231756622,0.6377204988769385,0.171785663562607,0.4043502868440293,0.4199681973628784,0.6117646813403447,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
0.681739,0.4729103518000001,0.4116317612696416,0.3494190669969296,0.6396230898906402,0.6340561722823876,0.7027483413041611,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
0.664432,0.5120214812,0.554901221342568,0.6799409763643821,0.9027686104951632,0.8997559327053671,0.6368561967244877,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
0.655794,0.5884421268,0.4611938473274943,0.3527957427768202,0.2347551326548154,0.260863483674792,0.6361986427684504,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
0.663037,0.4829489978,0.5433486766133663,0.7747331133948717,0.962496184949195,0.9610118543399332,0.6759722549278825,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
0.668955,0.646750563,0.5439278079572647,0.6763534581814815,1.0,0.9785994956022204,0.677251974128721,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
0.642242,0.4883337134,0.4507089583663818,0.0,0.0,0.0,0.6544571981858284,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
0.683337,0.6712213074,0.7671150083650298,0.4669083275578473,0.7371226180849635,0.7342332806197438,0.6831717160946814,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
0.661048,0.5661977814,0.5523655759315301,0.6398030741490709,0.7820747395613648,0.7943838075068151,0.6209794057511787,0.5,0.25,0.25,5000,25,0.1,1,0.02,2,20000,IID,3,False,False
