nsites,nclusts,sg,ss,se,variable,value
2.0,2.0,0.5,0.25,0.25,GCTA,0.720448
2.0,2.0,0.5,0.25,0.25,GCTA,0.699684
2.0,2.0,0.5,0.25,0.25,GCTA,0.626026
2.0,2.0,0.5,0.25,0.25,GCTA,0.715679
2.0,2.0,0.5,0.25,0.25,GCTA,0.689013
2.0,2.0,0.5,0.25,0.25,GCTA,0.670063
2.0,2.0,0.5,0.25,0.25,GCTA,0.7000270000000001
2.0,2.0,0.5,0.25,0.25,GCTA,0.674671
2.0,2.0,0.5,0.25,0.25,GCTA,0.6637430000000001
2.0,2.0,0.5,0.25,0.25,GCTA,0.695561
,,,,,GCTA,0.656101
,,,,,GCTA,0.6529659999999999
,,,,,GCTA,0.657101
,,,,,GCTA,0.6826260000000001
,,,,,GCTA,0.657788
,,,,,GCTA,0.667553
,,,,,GCTA,0.654094
,,,,,GCTA,0.650139
,,,,,GCTA,0.6681229999999999
,,,,,GCTA,0.670562
,,,,,GCTA,0.666417
,,,,,GCTA,0.650774
,,,,,GCTA,0.661846
,,,,,GCTA,0.65965
,,,,,GCTA,0.678056
,,,,,GCTA,0.6642859999999999
,,,,,GCTA,0.667369
,,,,,GCTA,0.657291
,,,,,GCTA,0.669933
,,,,,GCTA,0.659326
2.0,1.0,0.5,0.25,0.25,GCTA,0.6540239999999999
2.0,1.0,0.5,0.25,0.25,GCTA,0.660909
2.0,1.0,0.5,0.25,0.25,GCTA,0.648265
2.0,1.0,0.5,0.25,0.25,GCTA,0.6501979999999999
2.0,1.0,0.5,0.25,0.25,GCTA,0.6784180000000001
2.0,1.0,0.5,0.25,0.25,GCTA,0.658098
2.0,1.0,0.5,0.25,0.25,GCTA,0.6636029999999999
2.0,1.0,0.5,0.25,0.25,GCTA,0.649269
2.0,1.0,0.5,0.25,0.25,GCTA,0.687864
2.0,1.0,0.5,0.25,0.25,GCTA,0.654701
,,,,,GCTA,0.704256
,,,,,GCTA,0.700278
,,,,,GCTA,0.6898029999999999
,,,,,GCTA,0.699112
,,,,,GCTA,0.685227
,,,,,GCTA,0.677553
,,,,,GCTA,0.690923
,,,,,GCTA,0.729142
,,,,,GCTA,0.711338
,,,,,GCTA,0.7066979999999999
,,,,,GCTA,0.663104
,,,,,GCTA,0.650827
